Friend,Start date,End date,Start time,End time,Duration
438,4/19/18,4/20/18,0:00,0:00,24:00:00
439,4/19/18,4/20/18,0:00,0:00,24:00:00
440,4/19/18,4/20/18,0:00,0:00,24:00:00
441,4/20/18,4/21/18,0:00,0:00,24:00:00
442,4/21/18,4/22/18,0:00,0:00,24:00:00
443,4/21/18,4/22/18,0:00,0:00,24:00:00
444,4/21/18,4/22/18,0:00,0:00,24:00:00
445,4/21/18,4/22/18,0:00,0:00,24:00:00
446,4/22/18,4/23/18,0:00,0:00,24:00:00
447,4/22/18,4/23/18,0:00,0:00,24:00:00
448,4/25/18,4/26/18,0:00,0:00,24:00:00
449,4/25/18,4/26/18,0:00,0:00,24:00:00
450,4/26/18,4/27/18,0:00,0:00,24:00:00
451,4/27/18,4/28/18,0:00,0:00,24:00:00
452,4/29/18,4/30/18,0:00,0:00,24:00:00
453,4/29/18,4/30/18,0:00,0:00,24:00:00
454,4/30/18,5/1/18,0:00,0:00,24:00:00
455,4/30/18,5/1/18,0:00,0:00,24:00:00
456,4/30/18,5/1/18,0:00,0:00,24:00:00
457,4/30/18,5/1/18,0:00,0:00,24:00:00
458,5/1/18,5/2/18,0:00,0:00,24:00:00
459,5/3/18,5/4/18,0:00,0:00,24:00:00
460,5/3/18,5/4/18,0:00,0:00,24:00:00
461,5/4/18,5/5/18,0:00,0:00,24:00:00
462,5/6/18,5/7/18,0:00,0:00,24:00:00
463,5/6/18,5/7/18,0:00,0:00,24:00:00
464,5/7/18,5/8/18,0:00,0:00,24:00:00
465,5/8/18,5/9/18,0:00,0:00,24:00:00
466,5/8/18,5/9/18,0:00,0:00,24:00:00
467,5/8/18,5/9/18,0:00,0:00,24:00:00
468,5/9/18,5/10/18,0:00,0:00,24:00:00
469,5/10/18,5/11/18,0:00,0:00,24:00:00
470,5/10/18,5/11/18,0:00,0:00,24:00:00
471,5/11/18,5/12/18,0:00,0:00,24:00:00
472,5/11/18,5/12/18,0:00,0:00,24:00:00
473,5/12/18,5/13/18,0:00,0:00,24:00:00
474,5/12/18,5/13/18,0:00,0:00,24:00:00
475,5/13/18,5/14/18,0:00,0:00,24:00:00
476,5/13/18,5/14/18,0:00,0:00,24:00:00
